container_id,timestamp,commodity,temperature,humidity,vibration,condition,date,hour,minute,temperature_min,temperature_max,humidity_min,humidity_max,temperature_deviation,humidity_deviation,temperature_risk_score,humidity_risk_score,vibration_risk_score,microclimate_risk_score,microclimate_risk,temperature_excursion,humidity_excursion,vibration_anomaly,exposure_minutes,exposure_multiplier,microclimate_severity,temperature_severity,humidity_severity,vibration_severity,spoilage_risk_score,spoilage_risk,spoilage_flag
CONT_001,2026-09-10 17:39:32.831215,Avocado,3.94,71.79,0.29,WARNING,2026-09-10,17,39,5.0,13.0,85.0,95.0,1.06,13.21,0.212,0.6605000000000001,0.2249999999999999,37.22,Medium,True,True,False,0.20124285,0.020124285,0.3722,0.212,0.6605000000000001,0.2249999999999999,33.35,Medium,False
CONT_001,2026-09-10 17:39:44.905786,Mango,11.44,86.78,0.15,NORMAL,2026-09-10,17,39,10.0,13.0,85.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.09899221666666666,0.009899221666666666,0.0,0.0,0.0,0.0,0.1,Low,False
CONT_001,2026-09-10 17:39:50.845319,Avocado,11.47,87.74,0.08,NORMAL,2026-09-10,17,39,5.0,13.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.06676801666666667,0.006676801666666667,0.0,0.0,0.0,0.0,0.07,Low,False
CONT_001,2026-09-10 17:39:54.851400,Banana,13.88,93.39,0.12,NORMAL,2026-09-10,17,39,13.0,14.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.03457061666666667,0.003457061666666667,0.0,0.0,0.0,0.0,0.03,Low,False
CONT_001,2026-09-10 17:39:56.925637,Tomato,11.81,86.83,0.08,NORMAL,2026-09-10,17,39,10.0,12.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.13436915,0.013436914999999999,0.0,0.0,0.0,0.0,0.13,Low,False
CONT_001,2026-09-10 17:40:04.987786,Tomato,11.79,94.41,0.17,NORMAL,2026-09-10,17,40,10.0,12.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.07284991666666667,0.0072849916666666665,0.0,0.0,0.0,0.0,0.07,Low,False
CONT_001,2026-09-10 17:40:09.358781,Tomato,11.85,85.11,0.1,NORMAL,2026-09-10,17,40,10.0,12.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.03351275,0.003351275,0.0,0.0,0.0,0.0,0.03,Low,False
CONT_001,2026-09-10 17:40:11.369546,Avocado,11.91,91.22,0.16,NORMAL,2026-09-10,17,40,5.0,13.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.03338816666666666,0.0033388166666666664,0.0,0.0,0.0,0.0,0.03,Low,False
CONT_001,2026-09-10 17:40:13.372836,Tomato,10.04,89.86,0.08,NORMAL,2026-09-10,17,40,10.0,12.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.06678476666666668,0.006678476666666667,0.0,0.0,0.0,0.0,0.07,Low,False
CONT_001,2026-09-10 17:40:17.379922,Tomato,10.26,92.72,0.06,NORMAL,2026-09-10,17,40,10.0,12.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,False,False,False,0.37326783333333335,0.037326783333333335,0.0,0.0,0.0,0.0,0.37,Low,False
